01	5:48	12:10	14:52	17:14	18:32
02	5:47	12:10	14:53	17:15	18:33
03	5:47	12:10	14:54	17:16	18:34
04	5:46	12:10	14:55	17:18	18:35
05	5:45	12:10	14:56	17:19	18:36
06	5:44	12:10	14:57	17:20	18:37
07	5:43	12:10	14:58	17:21	18:38
08	5:42	12:10	14:59	17:23	18:40
09	5:41	12:10	15:00	17:24	18:41
10	5:40	12:10	15:01	17:25	18:42
11	5:38	12:10	15:02	17:26	18:43
12	5:37	12:10	15:02	17:28	18:44
13	5:36	12:10	15:03	17:29	18:45
14	5:35	12:10	15:04	17:30	18:46
15	5:34	12:10	15:05	17:31	18:47
16	5:33	12:10	15:06	17:32	18:48
17	5:31	12:10	15:07	17:34	18:50
18	5:30	12:10	15:08	17:35	18:51
19	5:29	12:10	15:09	17:36	18:52
20	5:27	12:10	15:10	17:37	18:53
21	5:26	12:10	15:11	17:38	18:54
22	5:25	12:10	15:11	17:40	18:55
23	5:23	12:09	15:12	17:41	18:56
24	5:22	12:09	15:13	17:42	18:57
25	5:21	12:09	15:14	17:43	18:58
26	5:19	12:09	15:15	17:44	18:59
27	5:18	12:09	15:15	17:45	19:01
28	5:16	12:09	15:16	17:47	19:02
